dataset,model,repetition,accuracy,precision,recall
heart,decision tree,0,0.631,0.577,1.000
heart,decision tree,1,0.619,0.570,1.000
heart,decision tree,2,0.641,0.585,1.000
heart,decision tree,3,0.670,0.605,1.000
heart,decision tree,4,0.646,0.587,1.000
heart,decision tree,5,0.629,0.575,1.000
heart,decision tree,6,0.660,0.596,1.000
heart,decision tree,7,0.654,0.593,1.000
heart,decision tree,8,0.638,0.583,1.000
heart,decision tree,9,0.634,0.580,1.000
heart,random forest,0,0.646,0.587,1.000
heart,random forest,1,0.645,0.587,1.000
heart,random forest,2,0.621,0.574,1.000
heart,random forest,3,0.633,0.580,1.000
heart,random forest,4,0.637,0.582,1.000
heart,random forest,5,0.609,0.563,1.000
heart,random forest,6,0.646,0.587,1.000
heart,random forest,7,0.640,0.583,1.000
heart,random forest,8,0.633,0.578,1.000
heart,random forest,9,0.649,0.590,1.000
heart,neural network,0,0.633,0.579,1.000
heart,neural network,1,0.621,0.571,1.000
heart,neural network,2,0.618,0.570,1.000
heart,neural network,3,0.655,0.593,1.000
heart,neural network,4,0.641,0.584,1.000
heart,neural network,5,0.637,0.582,1.000
heart,neural network,6,0.648,0.590,1.000
heart,neural network,7,0.641,0.585,1.000
heart,neural network,8,0.628,0.578,1.000
heart,neural network,9,0.633,0.578,1.000
heart numeric,decision tree,0,0.655,0.594,1.000
heart numeric,decision tree,1,0.635,0.579,1.000
heart numeric,decision tree,2,0.613,0.566,1.000
heart numeric,decision tree,3,0.653,0.595,1.000
heart numeric,decision tree,4,0.643,0.586,1.000
heart numeric,decision tree,5,0.633,0.578,1.000
heart numeric,decision tree,6,0.623,0.572,1.000
heart numeric,decision tree,7,0.655,0.594,1.000
heart numeric,decision tree,8,0.623,0.572,1.000
heart numeric,decision tree,9,0.621,0.571,1.000
heart numeric,random forest,0,0.644,0.587,1.000
heart numeric,random forest,1,0.627,0.575,1.000
heart numeric,random forest,2,0.640,0.583,1.000
heart numeric,random forest,3,0.633,0.580,1.000
heart numeric,random forest,4,0.649,0.589,1.000
heart numeric,random forest,5,0.656,0.596,1.000
heart numeric,random forest,6,0.630,0.579,1.000
heart numeric,random forest,7,0.648,0.588,1.000
heart numeric,random forest,8,0.648,0.587,1.000
heart numeric,random forest,9,0.615,0.568,1.000
heart numeric,neural network,0,0.652,0.591,1.000
heart numeric,neural network,1,0.630,0.578,1.000
heart numeric,neural network,2,0.654,0.594,1.000
heart numeric,neural network,3,0.608,0.562,1.000
heart numeric,neural network,4,0.630,0.579,1.000
heart numeric,neural network,5,0.636,0.579,1.000
heart numeric,neural network,6,0.662,0.601,1.000
heart numeric,neural network,7,0.646,0.586,1.000
heart numeric,neural network,8,0.641,0.586,1.000
heart numeric,neural network,9,0.633,0.579,1.000
heart categorical,decision tree,0,0.505,0.505,1.000
heart categorical,decision tree,1,0.501,0.501,1.000
heart categorical,decision tree,2,0.504,0.504,1.000
heart categorical,decision tree,3,0.502,0.502,1.000
heart categorical,decision tree,4,0.502,0.502,1.000
heart categorical,decision tree,5,0.503,0.503,1.000
heart categorical,decision tree,6,0.501,0.501,1.000
heart categorical,decision tree,7,0.504,0.504,1.000
heart categorical,decision tree,8,0.501,0.501,1.000
heart categorical,decision tree,9,0.504,0.504,1.000
heart categorical,random forest,0,0.501,0.501,1.000
heart categorical,random forest,1,0.502,0.502,1.000
heart categorical,random forest,2,0.505,0.505,1.000
heart categorical,random forest,3,0.501,0.501,1.000
heart categorical,random forest,4,0.501,0.501,1.000
heart categorical,random forest,5,0.501,0.501,1.000
heart categorical,random forest,6,0.502,0.502,1.000
heart categorical,random forest,7,0.501,0.501,1.000
heart categorical,random forest,8,0.506,0.506,1.000
heart categorical,random forest,9,0.501,0.501,1.000
heart categorical,neural network,0,0.502,0.502,1.000
heart categorical,neural network,1,0.503,0.503,1.000
heart categorical,neural network,2,0.501,0.501,1.000
heart categorical,neural network,3,0.503,0.503,1.000
heart categorical,neural network,4,0.502,0.502,1.000
heart categorical,neural network,5,0.504,0.504,1.000
heart categorical,neural network,6,0.504,0.504,1.000
heart categorical,neural network,7,0.502,0.502,1.000
heart categorical,neural network,8,0.502,0.502,1.000
heart categorical,neural network,9,0.501,0.501,1.000
census,decision tree,0,0.502,0.501,1.000
census,decision tree,1,0.502,0.501,1.000
census,decision tree,2,0.501,0.501,1.000
census,decision tree,3,0.502,0.501,1.000
census,decision tree,4,0.502,0.501,1.000
census,decision tree,5,0.502,0.501,1.000
census,decision tree,6,0.502,0.501,1.000
census,decision tree,7,0.502,0.501,1.000
census,decision tree,8,0.502,0.501,1.000
census,decision tree,9,0.502,0.501,1.000
census,random forest,0,0.502,0.501,1.000
census,random forest,1,0.503,0.502,1.000
census,random forest,2,0.501,0.501,1.000
census,random forest,3,0.502,0.501,1.000
census,random forest,4,0.502,0.501,1.000
census,random forest,5,0.502,0.501,1.000
census,random forest,6,0.501,0.501,1.000
census,random forest,7,0.502,0.501,1.000
census,random forest,8,0.502,0.501,1.000
census,random forest,9,0.502,0.501,1.000
census,neural network,0,0.502,0.501,1.000
census,neural network,1,0.502,0.501,1.000
census,neural network,2,0.502,0.501,1.000
census,neural network,3,0.502,0.501,1.000
census,neural network,4,0.502,0.501,1.000
census,neural network,5,0.502,0.501,1.000
census,neural network,6,0.502,0.501,1.000
census,neural network,7,0.502,0.501,1.000
census,neural network,8,0.501,0.501,1.000
census,neural network,9,0.502,0.501,1.000
census numeric,decision tree,0,0.505,0.503,1.000
census numeric,decision tree,1,0.504,0.502,1.000
census numeric,decision tree,2,0.505,0.502,1.000
census numeric,decision tree,3,0.504,0.502,1.000
census numeric,decision tree,4,0.504,0.502,1.000
census numeric,decision tree,5,0.506,0.503,1.000
census numeric,decision tree,6,0.505,0.502,1.000
census numeric,decision tree,7,0.505,0.503,1.000
census numeric,decision tree,8,0.504,0.502,1.000
census numeric,decision tree,9,0.507,0.503,1.000
census numeric,random forest,0,0.505,0.502,1.000
census numeric,random forest,1,0.504,0.502,1.000
census numeric,random forest,2,0.505,0.503,1.000
census numeric,random forest,3,0.504,0.502,1.000
census numeric,random forest,4,0.505,0.502,1.000
census numeric,random forest,5,0.506,0.503,1.000
census numeric,random forest,6,0.505,0.503,1.000
census numeric,random forest,7,0.506,0.503,1.000
census numeric,random forest,8,0.504,0.502,1.000
census numeric,random forest,9,0.506,0.503,1.000
census numeric,neural network,0,0.505,0.503,1.000
census numeric,neural network,1,0.505,0.502,1.000
census numeric,neural network,2,0.505,0.503,1.000
census numeric,neural network,3,0.504,0.502,1.000
census numeric,neural network,4,0.505,0.503,1.000
census numeric,neural network,5,0.505,0.503,1.000
census numeric,neural network,6,0.505,0.502,1.000
census numeric,neural network,7,0.504,0.502,1.000
census numeric,neural network,8,0.503,0.502,1.000
census numeric,neural network,9,0.505,0.503,1.000
census categorical,decision tree,0,0.500,0.500,1.000
census categorical,decision tree,1,0.500,0.500,1.000
census categorical,decision tree,2,0.500,0.500,1.000
census categorical,decision tree,3,0.500,0.500,1.000
census categorical,decision tree,4,0.500,0.500,1.000
census categorical,decision tree,5,0.500,0.500,1.000
census categorical,decision tree,6,0.500,0.500,1.000
census categorical,decision tree,7,0.500,0.500,1.000
census categorical,decision tree,8,0.500,0.500,1.000
census categorical,decision tree,9,0.500,0.500,1.000
census categorical,random forest,0,0.500,0.500,1.000
census categorical,random forest,1,0.500,0.500,1.000
census categorical,random forest,2,0.500,0.500,1.000
census categorical,random forest,3,0.500,0.500,1.000
census categorical,random forest,4,0.500,0.500,1.000
census categorical,random forest,5,0.500,0.500,1.000
census categorical,random forest,6,0.500,0.500,1.000
census categorical,random forest,7,0.500,0.500,1.000
census categorical,random forest,8,0.500,0.500,1.000
census categorical,random forest,9,0.500,0.500,1.000
census categorical,neural network,0,0.500,0.500,1.000
census categorical,neural network,1,0.500,0.500,1.000
census categorical,neural network,2,0.500,0.500,1.000
census categorical,neural network,3,0.500,0.500,1.000
census categorical,neural network,4,0.500,0.500,1.000
census categorical,neural network,5,0.500,0.500,1.000
census categorical,neural network,6,0.500,0.500,1.000
census categorical,neural network,7,0.500,0.500,1.000
census categorical,neural network,8,0.500,0.500,1.000
census categorical,neural network,9,0.500,0.500,1.000
