dataset,model,repetition,accuracy,precision,recall
heart,decision tree,0,0.517,0.510,1.000
heart,decision tree,1,0.506,0.506,1.000
heart,decision tree,2,0.513,0.510,1.000
heart,decision tree,3,0.505,0.505,1.000
heart,decision tree,4,0.505,0.504,1.000
heart,decision tree,5,0.509,0.506,1.000
heart,decision tree,6,0.503,0.502,1.000
heart,decision tree,7,0.514,0.510,1.000
heart,decision tree,8,0.513,0.509,1.000
heart,decision tree,9,0.516,0.511,1.000
heart,random forest,0,1.000,1.000,1.000
heart,random forest,1,1.000,1.000,1.000
heart,random forest,2,1.000,1.000,1.000
heart,random forest,3,1.000,1.000,1.000
heart,random forest,4,1.000,1.000,1.000
heart,random forest,5,1.000,1.000,1.000
heart,random forest,6,1.000,1.000,1.000
heart,random forest,7,1.000,1.000,1.000
heart,random forest,8,1.000,1.000,1.000
heart,random forest,9,1.000,1.000,1.000
heart,neural network,0,1.000,1.000,1.000
heart,neural network,1,1.000,1.000,1.000
heart,neural network,2,1.000,1.000,1.000
heart,neural network,3,1.000,1.000,1.000
heart,neural network,4,1.000,1.000,1.000
heart,neural network,5,1.000,1.000,1.000
heart,neural network,6,1.000,1.000,1.000
heart,neural network,7,1.000,1.000,1.000
heart,neural network,8,1.000,1.000,1.000
heart,neural network,9,1.000,1.000,1.000
heart numeric,decision tree,0,0.518,0.511,1.000
heart numeric,decision tree,1,0.536,0.520,1.000
heart numeric,decision tree,2,0.525,0.515,1.000
heart numeric,decision tree,3,0.534,0.522,1.000
heart numeric,decision tree,4,0.559,0.534,1.000
heart numeric,decision tree,5,0.532,0.518,1.000
heart numeric,decision tree,6,0.518,0.511,1.000
heart numeric,decision tree,7,0.531,0.518,1.000
heart numeric,decision tree,8,0.540,0.524,1.000
heart numeric,decision tree,9,0.535,0.520,1.000
heart numeric,random forest,0,1.000,1.000,1.000
heart numeric,random forest,1,1.000,1.000,1.000
heart numeric,random forest,2,1.000,1.000,1.000
heart numeric,random forest,3,1.000,1.000,1.000
heart numeric,random forest,4,1.000,1.000,1.000
heart numeric,random forest,5,1.000,1.000,1.000
heart numeric,random forest,6,1.000,1.000,1.000
heart numeric,random forest,7,1.000,1.000,1.000
heart numeric,random forest,8,1.000,1.000,1.000
heart numeric,random forest,9,1.000,1.000,1.000
heart numeric,neural network,0,1.000,1.000,1.000
heart numeric,neural network,1,1.000,1.000,1.000
heart numeric,neural network,2,1.000,1.000,1.000
heart numeric,neural network,3,1.000,1.000,1.000
heart numeric,neural network,4,1.000,1.000,1.000
heart numeric,neural network,5,1.000,1.000,1.000
heart numeric,neural network,6,1.000,1.000,1.000
heart numeric,neural network,7,1.000,1.000,1.000
heart numeric,neural network,8,1.000,1.000,1.000
heart numeric,neural network,9,1.000,1.000,1.000
heart categorical,decision tree,0,0.512,0.509,1.000
heart categorical,decision tree,1,0.513,0.507,1.000
heart categorical,decision tree,2,0.506,0.505,1.000
heart categorical,decision tree,3,0.509,0.506,1.000
heart categorical,decision tree,4,0.507,0.504,1.000
heart categorical,decision tree,5,0.512,0.507,1.000
heart categorical,decision tree,6,0.515,0.508,1.000
heart categorical,decision tree,7,0.505,0.504,1.000
heart categorical,decision tree,8,0.501,0.501,1.000
heart categorical,decision tree,9,0.506,0.505,1.000
heart categorical,random forest,0,1.000,1.000,1.000
heart categorical,random forest,1,1.000,1.000,1.000
heart categorical,random forest,2,1.000,1.000,1.000
heart categorical,random forest,3,1.000,1.000,1.000
heart categorical,random forest,4,1.000,1.000,1.000
heart categorical,random forest,5,1.000,1.000,1.000
heart categorical,random forest,6,1.000,1.000,1.000
heart categorical,random forest,7,1.000,1.000,1.000
heart categorical,random forest,8,1.000,1.000,1.000
heart categorical,random forest,9,1.000,1.000,1.000
heart categorical,neural network,0,1.000,1.000,1.000
heart categorical,neural network,1,1.000,1.000,1.000
heart categorical,neural network,2,1.000,1.000,1.000
heart categorical,neural network,3,1.000,1.000,1.000
heart categorical,neural network,4,0.993,0.986,1.000
heart categorical,neural network,5,0.993,0.986,1.000
heart categorical,neural network,6,0.994,0.988,1.000
heart categorical,neural network,7,1.000,1.000,1.000
heart categorical,neural network,8,0.999,0.998,1.000
heart categorical,neural network,9,1.000,1.000,1.000
census,decision tree,0,0.540,0.521,1.000
census,decision tree,1,0.543,0.523,1.000
census,decision tree,2,0.542,0.522,1.000
census,decision tree,3,0.538,0.520,1.000
census,decision tree,4,0.538,0.520,1.000
census,decision tree,5,0.536,0.519,1.000
census,decision tree,6,0.535,0.518,1.000
census,decision tree,7,0.537,0.519,1.000
census,decision tree,8,0.541,0.521,1.000
census,decision tree,9,0.535,0.518,1.000
census,random forest,0,0.987,0.974,1.000
census,random forest,1,0.989,0.979,1.000
census,random forest,2,0.988,0.977,1.000
census,random forest,3,0.990,0.981,1.000
census,random forest,4,0.986,0.973,1.000
census,random forest,5,0.991,0.982,1.000
census,random forest,6,0.990,0.980,1.000
census,random forest,7,0.989,0.979,1.000
census,random forest,8,0.985,0.971,1.000
census,random forest,9,0.982,0.966,1.000
census,neural network,0,0.961,0.998,0.924
census,neural network,1,0.942,0.998,0.887
census,neural network,2,0.999,0.999,0.999
census,neural network,3,0.958,0.997,0.919
census,neural network,4,1.000,0.999,1.000
census,neural network,5,0.999,0.999,1.000
census,neural network,6,0.999,0.999,1.000
census,neural network,7,1.000,0.999,1.000
census,neural network,8,0.994,0.999,0.990
census,neural network,9,0.999,0.999,1.000
census numeric,decision tree,0,0.527,0.514,1.000
census numeric,decision tree,1,0.530,0.516,1.000
census numeric,decision tree,2,0.528,0.515,1.000
census numeric,decision tree,3,0.520,0.510,1.000
census numeric,decision tree,4,0.529,0.515,1.000
census numeric,decision tree,5,0.534,0.518,1.000
census numeric,decision tree,6,0.532,0.517,1.000
census numeric,decision tree,7,0.522,0.511,1.000
census numeric,decision tree,8,0.529,0.515,1.000
census numeric,decision tree,9,0.526,0.514,1.000
census numeric,random forest,0,0.963,0.931,1.000
census numeric,random forest,1,0.968,0.939,1.000
census numeric,random forest,2,0.966,0.937,1.000
census numeric,random forest,3,0.964,0.940,0.990
census numeric,random forest,4,0.966,0.936,1.000
census numeric,random forest,5,0.961,0.927,1.000
census numeric,random forest,6,0.969,0.942,1.000
census numeric,random forest,7,0.973,0.949,1.000
census numeric,random forest,8,0.968,0.940,1.000
census numeric,random forest,9,0.966,0.936,1.000
census numeric,neural network,0,0.986,0.973,1.000
census numeric,neural network,1,0.987,0.974,1.000
census numeric,neural network,2,0.979,0.960,1.000
census numeric,neural network,3,0.983,0.967,1.000
census numeric,neural network,4,0.987,0.975,1.000
census numeric,neural network,5,0.985,0.972,1.000
census numeric,neural network,6,0.981,0.964,1.000
census numeric,neural network,7,0.986,0.972,1.000
census numeric,neural network,8,0.986,0.973,1.000
census numeric,neural network,9,0.984,0.969,1.000
census categorical,decision tree,0,0.517,0.508,1.000
census categorical,decision tree,1,0.511,0.506,1.000
census categorical,decision tree,2,0.514,0.507,1.000
census categorical,decision tree,3,0.514,0.507,1.000
census categorical,decision tree,4,0.511,0.506,1.000
census categorical,decision tree,5,0.512,0.506,1.000
census categorical,decision tree,6,0.515,0.507,1.000
census categorical,decision tree,7,0.512,0.506,1.000
census categorical,decision tree,8,0.510,0.505,1.000
census categorical,decision tree,9,0.513,0.507,1.000
census categorical,random forest,0,1.000,1.000,1.000
census categorical,random forest,1,1.000,1.000,1.000
census categorical,random forest,2,1.000,1.000,1.000
census categorical,random forest,3,1.000,1.000,1.000
census categorical,random forest,4,1.000,0.999,1.000
census categorical,random forest,5,1.000,1.000,1.000
census categorical,random forest,6,1.000,1.000,1.000
census categorical,random forest,7,1.000,1.000,1.000
census categorical,random forest,8,1.000,1.000,1.000
census categorical,random forest,9,1.000,0.999,1.000
census categorical,neural network,0,0.996,0.992,1.000
census categorical,neural network,1,0.997,0.993,1.000
census categorical,neural network,2,0.995,0.990,1.000
census categorical,neural network,3,0.997,0.994,1.000
census categorical,neural network,4,0.996,0.991,1.000
census categorical,neural network,5,0.996,0.992,1.000
census categorical,neural network,6,0.991,0.983,1.000
census categorical,neural network,7,0.997,0.995,1.000
census categorical,neural network,8,0.998,0.995,1.000
census categorical,neural network,9,0.996,0.991,1.000
