dataset,model,repetition,accuracy,precision,recall
heart,decision tree,0,0.847,1.000,0.695
heart,decision tree,1,0.853,1.000,0.709
heart,decision tree,2,0.849,1.000,0.702
heart,decision tree,3,0.867,1.000,0.736
heart,decision tree,4,0.858,1.000,0.717
heart,decision tree,5,0.850,1.000,0.702
heart,decision tree,6,0.846,1.000,0.692
heart,decision tree,7,0.836,1.000,0.676
heart,decision tree,8,0.861,1.000,0.724
heart,decision tree,9,0.837,1.000,0.678
heart,random forest,0,0.854,1.000,0.709
heart,random forest,1,0.865,1.000,0.734
heart,random forest,2,0.843,1.000,0.692
heart,random forest,3,0.854,1.000,0.712
heart,random forest,4,0.869,1.000,0.741
heart,random forest,5,0.845,1.000,0.692
heart,random forest,6,0.880,1.000,0.763
heart,random forest,7,0.850,1.000,0.702
heart,random forest,8,0.848,1.000,0.697
heart,random forest,9,0.863,1.000,0.729
heart,neural network,0,0.822,1.000,0.646
heart,neural network,1,0.827,1.000,0.659
heart,neural network,2,0.814,1.000,0.632
heart,neural network,3,0.834,1.000,0.671
heart,neural network,4,0.813,1.000,0.630
heart,neural network,5,0.821,1.000,0.644
heart,neural network,6,0.825,1.000,0.654
heart,neural network,7,0.788,1.000,0.581
heart,neural network,8,0.821,1.000,0.649
heart,neural network,9,0.828,1.000,0.659
heart numeric,decision tree,0,0.836,1.000,0.675
heart numeric,decision tree,1,0.884,1.000,0.769
heart numeric,decision tree,2,0.847,1.000,0.697
heart numeric,decision tree,3,0.853,1.000,0.711
heart numeric,decision tree,4,0.856,1.000,0.716
heart numeric,decision tree,5,0.887,1.000,0.774
heart numeric,decision tree,6,0.848,1.000,0.699
heart numeric,decision tree,7,0.858,1.000,0.718
heart numeric,decision tree,8,0.870,1.000,0.743
heart numeric,decision tree,9,0.864,1.000,0.731
heart numeric,random forest,0,0.870,1.000,0.743
heart numeric,random forest,1,0.859,1.000,0.721
heart numeric,random forest,2,0.860,1.000,0.721
heart numeric,random forest,3,0.872,1.000,0.748
heart numeric,random forest,4,0.848,1.000,0.697
