dataset,model,repetition,accuracy,precision,recall
heart,decision tree,0,-1.000,1.000,0.640
heart,decision tree,1,-1.000,1.000,0.649
heart,decision tree,2,-1.000,1.000,0.613
heart,decision tree,3,-1.000,1.000,0.676
heart,decision tree,4,-1.000,1.000,0.654
heart,decision tree,5,-1.000,1.000,0.649
heart,decision tree,6,-1.000,1.000,0.632
heart,decision tree,7,-1.000,1.000,0.642
heart,decision tree,8,-1.000,1.000,0.622
heart,decision tree,9,-1.000,1.000,0.665
heart,random forest,0,-1.000,1.000,0.603
heart,random forest,1,-1.000,1.000,0.561
heart,random forest,2,-1.000,1.000,0.553
heart,random forest,3,-1.000,1.000,0.553
heart,random forest,4,-1.000,1.000,0.548
heart,random forest,5,-1.000,1.000,0.580
heart,random forest,6,-1.000,1.000,0.602
heart,random forest,7,-1.000,1.000,0.600
heart,random forest,8,-1.000,1.000,0.600
heart,random forest,9,-1.000,1.000,0.593
heart,neural network,0,-1.000,1.000,0.564
heart,neural network,1,-1.000,1.000,0.507
heart,neural network,2,-1.000,1.000,0.527
heart,neural network,3,-1.000,1.000,0.527
heart,neural network,4,-1.000,1.000,0.562
heart,neural network,5,-1.000,1.000,0.530
heart,neural network,6,-1.000,1.000,0.567
heart,neural network,7,-1.000,1.000,0.558
heart,neural network,8,-1.000,1.000,0.588
heart,neural network,9,-1.000,1.000,0.550
heart numeric,decision tree,0,-1.000,1.000,0.664
heart numeric,decision tree,1,-1.000,1.000,0.648
heart numeric,decision tree,2,-1.000,1.000,0.667
heart numeric,decision tree,3,-1.000,1.000,0.629
heart numeric,decision tree,4,-1.000,1.000,0.643
heart numeric,decision tree,5,-1.000,1.000,0.625
heart numeric,decision tree,6,-1.000,1.000,0.642
heart numeric,decision tree,7,-1.000,1.000,0.653
heart numeric,decision tree,8,-1.000,1.000,0.669
heart numeric,decision tree,9,-1.000,1.000,0.654
heart numeric,random forest,0,-1.000,1.000,0.607
heart numeric,random forest,1,-1.000,1.000,0.584
heart numeric,random forest,2,-1.000,1.000,0.617
heart numeric,random forest,3,-1.000,1.000,0.592
heart numeric,random forest,4,-1.000,1.000,0.621
heart numeric,random forest,5,-1.000,1.000,0.601
heart numeric,random forest,6,-1.000,1.000,0.602
heart numeric,random forest,7,-1.000,1.000,0.603
heart numeric,random forest,8,-1.000,1.000,0.589
heart numeric,random forest,9,-1.000,1.000,0.600
heart numeric,neural network,0,-1.000,1.000,0.602
heart numeric,neural network,1,-1.000,1.000,0.598
heart numeric,neural network,2,-1.000,1.000,0.608
heart numeric,neural network,3,-1.000,1.000,0.574
heart numeric,neural network,4,-1.000,1.000,0.629
heart numeric,neural network,5,-1.000,1.000,0.584
heart numeric,neural network,6,-1.000,1.000,0.593
heart numeric,neural network,7,-1.000,1.000,0.569
heart numeric,neural network,8,-1.000,1.000,0.598
heart numeric,neural network,9,-1.000,1.000,0.581
heart categorical,decision tree,0,-1.000,1.000,0.856
heart categorical,decision tree,1,-1.000,1.000,0.882
heart categorical,decision tree,2,-1.000,1.000,0.883
heart categorical,decision tree,3,-1.000,1.000,0.856
heart categorical,decision tree,4,-1.000,1.000,0.861
heart categorical,decision tree,5,-1.000,1.000,0.866
heart categorical,decision tree,6,-1.000,1.000,0.850
heart categorical,decision tree,7,-1.000,1.000,0.883
heart categorical,decision tree,8,-1.000,1.000,0.888
heart categorical,decision tree,9,-1.000,1.000,0.879
heart categorical,random forest,0,-1.000,1.000,0.785
heart categorical,random forest,1,-1.000,1.000,0.789
heart categorical,random forest,2,-1.000,1.000,0.793
heart categorical,random forest,3,-1.000,1.000,0.804
heart categorical,random forest,4,-1.000,1.000,0.804
heart categorical,random forest,5,-1.000,1.000,0.827
heart categorical,random forest,6,-1.000,1.000,0.796
heart categorical,random forest,7,-1.000,1.000,0.789
heart categorical,random forest,8,-1.000,1.000,0.816
heart categorical,random forest,9,-1.000,1.000,0.801
heart categorical,neural network,0,-1.000,1.000,0.789
heart categorical,neural network,1,-1.000,1.000,0.809
heart categorical,neural network,2,-1.000,1.000,0.789
heart categorical,neural network,3,-1.000,1.000,0.799
