dataset,model,precision,recall
heart,decision tree,NaN,0.000
heart,random forest,1.000,0.004
heart,neural network,1.000,1.000
heart numeric,decision tree,NaN,0.000
heart numeric,random forest,1.000,0.004
heart numeric,neural network,1.000,1.000
heart categorical,decision tree,NaN,0.000
heart categorical,random forest,1.000,0.161
heart categorical,neural network,1.000,1.000
census,decision tree,NaN,0.000
census,random forest,1.000,0.000
census,neural network,1.000,0.995
census numeric,decision tree,NaN,0.000
census numeric,random forest,1.000,0.014
census numeric,neural network,1.000,1.000
census categorical,decision tree,NaN,0.000
census categorical,random forest,1.000,0.106
census categorical,neural network,1.000,1.000
