dataset,model,accuracy,accuracy,precision,precision,recall,recall
,,mean,std,mean,std,mean,std
census,decision tree,0.504,0.001,0.502,0.000,1.000,0.000
census,neural network,0.504,0.001,0.502,0.001,1.000,0.000
census,random forest,0.504,0.000,0.502,0.000,1.000,0.000
census categorical,decision tree,0.500,0.000,0.500,0.000,1.000,0.000
census categorical,neural network,0.500,0.000,0.500,0.000,1.000,0.000
census categorical,random forest,0.500,0.000,0.500,0.000,1.000,0.000
census numeric,decision tree,0.510,0.002,0.505,0.001,1.000,0.000
census numeric,neural network,0.510,0.002,0.505,0.001,1.000,0.000
census numeric,random forest,0.509,0.002,0.505,0.001,1.000,0.000
heart,decision tree,0.730,0.016,0.655,0.013,1.000,0.000
heart,neural network,0.728,0.018,0.653,0.015,1.000,0.000
heart,random forest,0.736,0.017,0.660,0.013,1.000,0.000
heart categorical,decision tree,0.504,0.003,0.504,0.003,1.000,0.000
heart categorical,neural network,0.504,0.002,0.504,0.002,1.000,0.000
heart categorical,random forest,0.504,0.002,0.504,0.002,1.000,0.000
heart numeric,decision tree,0.734,0.010,0.657,0.008,1.000,0.000
heart numeric,neural network,0.733,0.022,0.657,0.019,1.000,0.000
heart numeric,random forest,0.732,0.021,0.655,0.016,1.000,0.000
